Interaction_ID,User_ID,Category_Type,Category_Value,Strength,Timestamp
1,41,Planet_Type,Terrestrial,4,2025-11-09 09:01:12.133685
2,45,Planet_Type,Gas Giant,2,2025-11-21 20:35:00.693508
3,96,Planet_Type,Gas Giant,3,2025-11-14 13:07:48.918870
4,90,Moon_Parent,Pluto,5,2025-11-21 22:10:11.030732
5,73,Star_Type,A,5,2025-11-23 02:14:58.992412
6,12,Planet_Type,Dwarf Planet,4,2025-11-17 22:55:16.043808
7,50,Star_Type,F,3,2025-11-23 22:04:20.186015
8,5,Planet_Type,Dwarf Planet,3,2025-11-16 12:33:52.984806
9,55,Star_Type,A,3,2025-11-20 12:44:32.106978
10,2,Moon_Parent,Mars,3,2025-11-02 20:49:28.526426
11,1,Star_Type,K,3,2025-11-21 14:02:17.096557
12,28,Planet_Type,Terrestrial,3,2025-11-22 06:46:28.159531
13,23,Planet_Type,Dwarf Planet,2,2025-11-23 19:18:22.944150
14,83,Star_Type,A,3,2025-11-15 03:13:02.504632
15,12,Star_Type,K,3,2025-11-25 20:43:20.450807
16,89,Moon_Parent,Uranus,2,2025-11-24 03:01:35.708157
17,14,Planet_Type,Gas Giant,2,2025-11-23 06:28:11.053629
18,37,Moon_Parent,Pluto,2,2025-11-16 19:14:19.707326
19,89,Planet_Type,Terrestrial,5,2025-11-05 14:57:28.512576
20,82,Moon_Parent,Neptune,5,2025-11-10 18:06:58.071982
21,84,Star_Type,G,3,2025-11-12 09:19:45.911929
22,46,Planet_Type,Gas Giant,2,2025-11-25 06:26:38.673421
23,90,Star_Type,O,3,2025-11-20 23:01:21.529047
24,70,Moon_Parent,Saturn,3,2025-11-13 19:08:00.046388
25,39,Star_Type,F,5,2025-11-25 09:25:09.835317
26,61,Star_Type,F,4,2025-11-24 06:06:27.744420
27,48,Planet_Type,Gas Giant,1,2025-11-25 05:04:57.274020
28,12,Planet_Type,Dwarf Planet,1,2025-11-18 09:47:09.175496
29,84,Planet_Type,Gas Giant,5,2025-11-23 16:30:27.934602
30,75,Star_Type,M,2,2025-11-22 03:40:51.317254
31,12,Planet_Type,Dwarf Planet,2,2025-10-12 01:53:19.863213
32,88,Star_Type,F,2,2025-11-24 03:52:30.404629
33,47,Star_Type,O,4,2025-11-25 00:04:13.136908
34,20,Moon_Parent,Neptune,1,2025-11-10 10:05:07.444010
35,95,Star_Type,O,5,2025-11-08 06:24:56.209566
36,89,Star_Type,A,4,2025-11-13 15:13:10.717014
37,37,Star_Type,K,1,2025-11-22 01:29:32.290103
38,92,Planet_Type,Ice Giant,4,2025-11-24 02:08:56.314683
39,25,Moon_Parent,Pluto,3,2025-11-05 13:15:22.385416
40,37,Moon_Parent,Neptune,5,2025-11-20 03:41:40.563243
41,4,Planet_Type,Dwarf Planet,3,2025-11-15 02:33:07.583213
42,86,Star_Type,M,4,2025-11-19 23:10:13.910632
43,50,Planet_Type,Ice Giant,2,2025-11-14 23:26:04.558005
44,52,Planet_Type,Terrestrial,3,2025-11-24 06:24:36.498892
45,59,Star_Type,K,4,2025-11-25 16:31:18.490341
46,19,Star_Type,B,3,2025-10-27 19:40:00.981327
47,54,Moon_Parent,Jupiter,2,2025-11-23 00:06:40.194116
48,61,Planet_Type,Ice Giant,5,2025-11-21 14:35:29.664726
49,33,Planet_Type,Terrestrial,5,2025-11-08 06:13:16.136036
50,19,Planet_Type,Dwarf Planet,5,2025-11-15 12:15:51.469737
51,77,Star_Type,F,2,2025-11-18 00:16:18.552124
52,43,Planet_Type,Dwarf Planet,5,2025-11-13 13:16:57.089880
53,59,Planet_Type,Ice Giant,2,2025-11-25 04:17:56.321475
54,65,Star_Type,G,1,2025-10-26 04:47:05.356811
55,46,Planet_Type,Terrestrial,4,2025-11-24 07:12:57.509915
56,91,Star_Type,G,5,2025-11-22 02:21:50.744255
57,69,Planet_Type,Ice Giant,4,2025-11-23 13:34:10.482775
58,5,Star_Type,A,5,2025-11-24 01:03:41.447898
59,42,Star_Type,K,5,2025-11-20 00:40:12.008984
60,68,Planet_Type,Gas Giant,5,2025-11-15 18:14:07.646657
61,4,Star_Type,A,5,2025-11-22 22:29:30.074127
62,28,Planet_Type,Dwarf Planet,2,2025-11-04 18:56:28.123938
63,95,Planet_Type,Dwarf Planet,2,2025-11-21 01:35:41.417172
64,79,Moon_Parent,Uranus,3,2025-11-12 13:04:45.358148
65,97,Planet_Type,Ice Giant,3,2025-10-31 03:50:40.350018
66,61,Planet_Type,Dwarf Planet,4,2025-11-12 15:53:31.365267
67,61,Planet_Type,Dwarf Planet,2,2025-11-21 07:35:40.512735
68,44,Moon_Parent,Uranus,4,2025-11-01 17:05:02.617222
69,96,Planet_Type,Gas Giant,5,2025-11-25 13:40:55.955162
70,56,Planet_Type,Gas Giant,1,2025-11-10 02:04:18.934287
71,8,Planet_Type,Gas Giant,4,2025-11-14 21:03:23.986663
72,35,Planet_Type,Terrestrial,3,2025-11-08 02:05:06.228172
73,95,Moon_Parent,Mars,2,2025-11-10 08:15:00.281061
74,42,Planet_Type,Gas Giant,3,2025-11-26 11:14:47.384118
75,89,Planet_Type,Terrestrial,3,2025-11-25 20:05:52.697201
76,57,Star_Type,F,3,2025-10-21 16:30:51.288841
77,83,Star_Type,M,4,2025-11-16 15:35:26.213993
78,20,Moon_Parent,Mars,2,2025-11-25 01:59:57.766028
79,86,Star_Type,B,3,2025-11-15 18:04:07.698219
80,36,Planet_Type,Terrestrial,4,2025-11-11 02:16:13.544021
81,56,Planet_Type,Gas Giant,3,2025-11-06 10:01:41.109411
82,15,Moon_Parent,Mars,4,2025-11-23 09:08:52.379100
83,33,Planet_Type,Ice Giant,4,2025-11-24 07:04:51.550537
84,90,Planet_Type,Gas Giant,3,2025-11-26 06:17:45.692700
85,35,Star_Type,M,2,2025-11-07 12:20:32.194638
86,22,Star_Type,K,1,2025-11-24 06:04:11.515667
87,34,Moon_Parent,Saturn,3,2025-11-26 04:36:59.696902
88,89,Star_Type,G,1,2025-11-20 09:45:48.489371
89,30,Moon_Parent,Pluto,2,2025-10-31 04:59:12.144892
90,53,Planet_Type,Dwarf Planet,4,2025-11-25 02:39:50.433999
91,12,Planet_Type,Gas Giant,5,2025-11-01 01:09:14.341163
92,99,Star_Type,F,1,2025-11-21 05:34:42.827312
93,54,Moon_Parent,Jupiter,5,2025-11-12 03:26:31.378889
94,16,Moon_Parent,Saturn,4,2025-11-17 21:23:39.493628
95,91,Planet_Type,Dwarf Planet,4,2025-11-03 00:26:31.979625
96,21,Star_Type,F,4,2025-11-15 19:31:16.145122
97,65,Star_Type,O,5,2025-10-29 15:43:40.695614
98,11,Planet_Type,Ice Giant,4,2025-10-19 17:18:29.477919
99,32,Planet_Type,Ice Giant,5,2025-11-11 02:55:49.677213
100,5,Star_Type,A,3,2025-11-24 14:00:03.617025
101,43,Star_Type,F,1,2025-11-19 09:12:56.544276
102,69,Planet_Type,Ice Giant,2,2025-11-12 18:44:14.225049
103,28,Moon_Parent,Uranus,3,2025-11-25 10:11:09.394077
104,77,Star_Type,A,5,2025-11-11 02:38:10.916617
105,97,Moon_Parent,Uranus,2,2025-11-17 16:40:31.452498
106,63,Star_Type,K,2,2025-11-01 00:55:47.248265
107,95,Moon_Parent,Pluto,4,2025-11-19 01:15:05.403135
